index,Latitude,Longitude,UseCategory,CensusBlock,Units
1,37.7517247,-122.2374481,Single-family Detached,60014282001,1
2,37.7515993,-122.2374925,Single-family Detached,60014282001,1
3,37.751596,-122.2376254,Single-family Detached,60014282001,1
4,37.7524847,-122.2373706,Single-family Detached,60014282001,1
5,37.7524196,-122.2374925,Single-family Detached,60014282001,1
6,37.7523179,-122.2375811,Single-family Detached,60014282001,1
7,37.7522298,-122.2376254,Single-family Detached,60014282001,1
8,37.752152,-122.2377584,Single-family Detached,60014282001,1
9,37.7520876,-122.237847,Single-family Detached,60014282001,1
10,37.751986,-122.2379357,Single-family Detached,60014282001,1
11,37.7519216,-122.2380243,Single-family Detached,60014282001,1
12,37.75182,-122.2381129,Single-family Detached,60014282001,1
13,37.7516438,-122.2382016,Single-family Detached,60014282001,1
14,37.7516913,-122.2382902,Single-family Detached,60014282001,1
15,37.7517626,-122.2384232,Single-family Detached,60014282001,1
16,37.7518338,-122.2385561,Single-family Detached,60014282001,1
17,37.7519559,-122.2386448,Single-family Detached,60014282001,1
18,37.7520481,-122.2384343,Single-family Detached,60014282001,1
19,37.7521252,-122.2383345,Single-family Detached,60014282001,1
20,37.7522022,-122.2382348,Single-family Detached,60014282001,1
21,37.7522912,-122.2381573,Single-family Detached,60014282001,1
22,37.7523987,-122.2380797,Single-family Detached,60014282001,1
23,37.7524944,-122.23798,Single-family Detached,60014282001,1
24,37.752535,-122.237847,Single-family Detached,60014282001,1
25,37.7526366,-122.2377584,Single-family Detached,60014282001,1
26,37.7527383,-122.2376697,Single-family Detached,60014282001,1
27,37.7530266,-122.2380686,Single-family Detached,60014282001,1
28,37.7529487,-122.2382016,Single-family Detached,60014282001,1
29,37.7528471,-122.2382902,Single-family Detached,60014282001,1
30,37.7528065,-122.2384232,Single-family Detached,60014282001,1
31,37.7526811,-122.2384675,Single-family Detached,60014282001,1
32,37.7526405,-122.2386005,Single-family Detached,60014282001,1
33,37.7525524,-122.2386448,Single-family Detached,60014282001,1
34,37.7524381,-122.2387445,Single-family Detached,60014282001,1
35,37.7523483,-122.2388553,Single-family Detached,60014282001,1
36,37.752173,-122.2389107,Single-family Detached,60014282001,1
